id,character,name,element,learn,cost,target,kind,params,branch,text
n_draw,hero,재정비,normal,1,2,self,draw,n=2,,카드 2장을 뽑습니다.
n_muster,hero,긴급 배치,normal,1,3,self,draw,n=1,,카드 1장을 뽑고 손패를 정리합니다.
n_capture,hero,포획구,normal,1,3,point,capture,radius=1.4,,지정한 위치에 포획구를 던집니다. 보스는 기절 중일 때만 포획할 수 있습니다.
n_bind,hero,구속 덫,normal,1,2,point,bind,radius=2.6;duration=2.5,,범위 안의 적을 2.5초 동안 묶습니다.
n_heal,hero,응급 수리,normal,1,3,self,baseHeal,amount=25,,성 HP를 25 회복합니다.
fire_spark,fire,불씨,fire,1,1,point,damage,amount=16;radius=1.2;mark=burn;markStacks=1,,적에게 16 피해와 화상 1중첩.
fire_ball,fire,화염구,fire,1,2,point,damage,amount=24;radius=2.2;mark=burn;markStacks=2,,범위 안의 적에게 24 피해와 화상 2중첩.
fire_chain,fire,연쇄 불씨,fire,4,2,point,chain,amount=16;targets=3;mark=burn;markStacks=1,,가까운 적 3마리에게 연쇄 피해와 화상.
fire_zone,fire,화염 지대,fire,8,3,point,zone,zone=fire;radius=3;duration=5;dps=14,,5초 동안 초당 14 피해를 주는 불길을 남깁니다.
fire_lash,fire,불채찍,fire,13,3,point,chain,amount=22;targets=4;mark=burn;markStacks=2,,적 4마리에게 연쇄 피해와 화상 2중첩.
fire_nova,fire,초신성,fire,18,4,point,damage,amount=52;radius=3.4;mark=burn;markStacks=3,,넓은 범위에 52 피해와 화상 3중첩.
fire_overheat,fire,오버히트,fire,24,4,self,overheat,mult=2;duration=8,,8초 동안 불 유닛의 공격력이 2배가 됩니다.
water_splash,water,물살,water,1,1,point,damage,amount=12;radius=1.2;mark=wet;markStacks=1;knockback=0.8,,12 피해와 젖음. 약하게 밀쳐냅니다.
water_cannon,water,물대포,water,1,2,point,damage,amount=20;radius=1.3;mark=wet;markStacks=1;knockback=1.5,,20 피해와 젖음. 적을 밀쳐냅니다.
water_pool,water,감속 웅덩이,water,4,2,point,zone,zone=slow;radius=3;duration=6;slow=0.4,,6초 동안 적을 40% 느리게 하는 웅덩이를 만듭니다.
water_tide,water,밀물,water,8,3,point,damage,amount=28;radius=3;mark=wet;knockback=4,,넓은 범위에 28 피해를 주고 강하게 밀쳐냅니다.
water_guard,water,수호의 물결,water,13,3,ally-all,shieldAll,pct=0.15,,성 HP를 최대치의 15%만큼 회복합니다.
water_iron,water,대소용돌이,water,18,4,point,zone,zone=slow;radius=3.4;duration=6;slow=0.6;root=1.5,,넓은 범위를 크게 감속하고 짧게 묶는 소용돌이를 만듭니다.
water_torrent,water,격류,water,24,4,point,damage,amount=44;radius=2.8;knockback=3.5,,범위 안의 적에게 44 피해와 강한 넉백.
grass_sprout,grass,새싹,grass,1,1,point,damage,amount=12;radius=1.4;mark=overgrowth,,12 피해와 덩굴 표식.
grass_seed,grass,씨앗탄,grass,1,1,point,zone,zone=overgrowth;radius=2.4;duration=6;slow=0.4;dps=4,,6초 동안 적을 느리게 하고 피해를 주는 덩굴 지대를 만듭니다.
grass_vine,grass,덩굴 감옥,grass,4,2,point,zone,zone=overgrowth;radius=2.6;duration=3;root=3;slow=0.4,,범위 안의 적을 3초 동안 묶습니다.
grass_bush,grass,가시덤불,grass,8,3,point,zone,zone=thorn;radius=3;duration=6;slow=0.3;dps=8,,6초 동안 적을 느리게 하고 초당 8 피해를 주는 덤불을 만듭니다.
grass_mend,grass,치유의 잎,grass,13,3,ally-all,healAll,amount=30,,성 HP를 30 회복합니다.
grass_spore,grass,포자 폭발,grass,18,3,point,damage,amount=28;radius=2.8;mark=overgrowth,,범위 안의 적에게 28 피해와 덩굴 표식.
grass_forest,grass,가시숲,grass,24,4,point,zone,zone=thorn;radius=3.4;duration=6;slow=0.4;dps=10,,6초 동안 적을 느리게 하고 초당 10 피해를 줍니다.
dark_bolt,dark,그림자탄,dark,1,1,point,damage,amount=12;radius=1.2;mark=curse;markStacks=1,,12 피해와 저주 1중첩.
dark_mark,dark,저주 표식,dark,1,1,enemy-area,markArea,mark=curse;stacks=2;radius=2.6,,범위 안의 적에게 저주 2중첩을 남깁니다.
dark_weaken,dark,약화의 저주,dark,6,2,enemy-area,defDown,pct=0.4;duration=8;radius=2.6,,8초 동안 범위 안의 적이 받는 피해를 40% 늘립니다.
dark_burst,dark,어둠 폭발,dark,12,3,point,damage,amount=30;radius=2.6;mark=curse;markStacks=2,,범위 안의 적에게 30 피해와 저주 2중첩.
dark_leech,dark,생명 흡수,dark,16,3,point,drain,amount=28;radius=2.6;drainPct=0.6,,범위 안의 적에게 28 피해를 주고 일부 피해만큼 성을 수리합니다.
dark_night,dark,밤의 칼날,dark,20,3,point,damage,amount=32;radius=2.8;mark=curse;markStacks=2,,범위 안의 적에게 32 피해와 저주 2중첩.
dark_verdict,dark,일식 선고,dark,24,6,enemy-area,eclipseVerdict,radius=99;executePct=0.2,,맵 전체의 저주가 깊은 적에게 큰 피해를 주고 약한 일반 적을 처형합니다.
light_ray,light,빛무리,light,1,1,point,judgment,amount=12;radius=1.3;darkBonus=1.5,,12 빛 피해. 어둠 적에게 더 강합니다.
light_bless,light,축복,light,1,2,ally-one,blessOne,stacks=2,,가장 앞선 유닛에게 축복을 부여해 공격력을 높입니다.
light_shield,light,빛의 방패,light,6,2,ally-all,shieldAll,pct=0.12,,성 HP를 최대치의 12%만큼 회복합니다.
light_smite,light,심판의 빛,light,12,3,enemy-area,judgment,amount=26;radius=2.8;darkBonus=1.5,,범위 안의 적에게 26 빛 피해를 줍니다.
light_prayer,light,정화의 기도,light,16,3,ally-all,cleanseHeal,amount=30,,성 HP를 30 회복하고 전장을 정화합니다.
light_haste,light,성스러운 가속,light,20,3,self,haste,mult=1.35;duration=6,,잠시 모든 유닛의 공격 속도를 높입니다.
light_sunfire,light,태양의 심판,light,24,6,enemy-area,judgment,amount=36;radius=99;darkBonus=2,,맵 전체의 적에게 36 빛 피해를 줍니다. 어둠 적에게 매우 강합니다.
fire_ignite,fire,점화,fire,10,2,enemy-area,markArea,mark=burn;stacks=3;radius=2.6,,범위 안의 적에게 화상 3중첩을 남깁니다. 도트 극대화.
water_mana,water,밀물의 축복,water,10,3,self,manaGain,amount=4,,밀려드는 물결로 마나를 4 회복합니다.
grass_grow,grass,자라나기,grass,10,2,self,draw,n=2,,새싹이 자라나 카드 2장을 뽑습니다.
grass_wall,grass,덩굴 벽,grass,15,3,point,block,radius=2.6;duration=5;slow=0.9;dps=3,,덩굴 벽을 세워 5초간 적의 이동을 막습니다.
dark_fear,dark,공포,dark,16,3,enemy-area,fear,radius=2.8;duration=2,,범위 안의 적이 2초 동안 공포에 질려 뒤로 도망칩니다.
light_still,light,천상의 정지,light,16,4,enemy-area,bind,radius=99;duration=1.8,,맵 전체의 적을 1.8초 동안 신성한 힘으로 정지시킵니다.
e_fire_1,e_fire,불뿜기,fire,1,1,point,damage,amount=13;radius=1.2;mark=burn;markStacks=1,,13 피해와 화상 1중첩.
e_fire_2,e_fire,불티,fire,1,1,point,damage,amount=11;radius=1.6;mark=burn;markStacks=1,,범위 안의 적에게 11 피해와 화상.
e_fire_3,e_fire,화상 표식,fire,2,1,enemy-area,markArea,mark=burn;stacks=2;radius=2.2,,범위 안의 적에게 화상 2중첩.
e_fire_4,e_fire,화염구,fire,3,2,point,damage,amount=20;radius=2;mark=burn;markStacks=2,,범위 안의 적에게 20 피해와 화상 2중첩.
e_fire_5,e_fire,불의 고리,fire,5,3,point,zone,zone=fire;radius=2.6;duration=4;dps=10,,4초 동안 초당 10 피해를 주는 불길을 남깁니다.
e_fire_6,e_fire,화염탄,fire,7,3,point,damage,amount=26;radius=2.2;mark=burn;markStacks=2,,범위 안의 적에게 26 피해와 화상 2중첩.
e_fire_7,e_fire,연쇄 불꽃,fire,9,2,point,chain,amount=16;targets=3;mark=burn;markStacks=1,,적 3마리에게 연쇄 피해와 화상을 줍니다.
e_fire_8,e_fire,대폭발,fire,10,5,enemy-area,damage,amount=28;radius=99;mark=burn;markStacks=2,,맵 전체의 적에게 28 피해와 화상 2중첩을 남깁니다.
e_water_1,e_water,물방울,water,1,1,point,damage,amount=12;radius=1.2;mark=wet;markStacks=1;knockback=0.8,,12 피해와 젖음. 약하게 밀쳐냅니다.
e_water_2,e_water,물줄기,water,1,2,point,damage,amount=11;radius=1.8;mark=wet,,범위 안의 적에게 11 피해와 젖음.
e_water_3,e_water,물보라,water,2,1,enemy-area,markArea,mark=wet;stacks=1;radius=2.4,,범위 안의 적에게 젖음 표식을 남깁니다.
e_water_4,e_water,물대포,water,3,2,point,damage,amount=20;radius=1.6;mark=wet;knockback=1.5,,20 피해와 젖음. 적을 밀쳐냅니다.
e_water_5,e_water,진창,water,5,2,point,zone,zone=slow;radius=2.8;duration=5;slow=0.4,,5초 동안 적을 40% 느리게 합니다.
e_water_6,e_water,난류,water,7,3,point,damage,amount=26;radius=2;knockback=2.5,,범위 안의 적에게 26 피해를 주고 밀쳐냅니다.
e_water_7,e_water,소용돌이,water,9,3,point,zone,zone=slow;radius=2.6;duration=5;slow=0.55;root=1,,5초 동안 적을 크게 느리게 하고 짧게 묶습니다.
e_water_8,e_water,대해일,water,10,5,enemy-area,damage,amount=26;radius=99;mark=wet;knockback=1.2,,맵 전체의 적에게 26 피해와 젖음 표식을 남기고 조금 밀쳐냅니다.
e_grass_1,e_grass,가시,grass,1,1,point,damage,amount=12;radius=1.4;mark=overgrowth,,12 피해와 덩굴 표식.
e_grass_2,e_grass,씨앗,grass,1,1,point,zone,zone=overgrowth;radius=2.2;duration=5;slow=0.35;dps=4,,5초 동안 적을 느리게 하고 피해를 줍니다.
e_grass_3,e_grass,포자 표식,grass,2,1,enemy-area,markArea,mark=overgrowth;stacks=1;radius=2.2,,범위 안의 적에게 덩굴 표식을 남깁니다.
e_grass_4,e_grass,뿌리감옥,grass,3,2,point,zone,zone=overgrowth;radius=2.4;duration=2.5;root=2.5;slow=0.3,,범위 안의 적을 2.5초 동안 묶습니다.
e_grass_5,e_grass,가시덤불,grass,5,3,point,zone,zone=thorn;radius=2.6;duration=5;slow=0.3;dps=7,,5초 동안 적을 느리게 하고 초당 7 피해를 줍니다.
e_grass_6,e_grass,회복 포자,grass,7,3,ally-all,healAll,amount=26,,성 HP를 26 회복합니다.
e_grass_7,e_grass,포자탄,grass,9,3,point,damage,amount=26;radius=2.6;mark=overgrowth,,범위 안의 적에게 26 피해와 덩굴 표식.
e_grass_8,e_grass,대지의 분노,grass,10,5,enemy-area,damage,amount=26;radius=99;mark=overgrowth,,맵 전체의 적에게 26 피해와 덩굴 표식을 남깁니다.
e_light_1,e_light,빛살,light,1,1,point,judgment,amount=12;radius=1.3;darkBonus=1.5,,12 빛 피해. 어둠 적에게 더 강합니다.
e_light_2,e_light,가호,light,1,2,ally-one,blessOne,stacks=2,,가장 앞선 유닛의 공격력을 높입니다.
